,Address,BuildingType,ComplianceStatus,DataYear,DefaultData,ENERGYSTARScore,LargestPropertyUseType,ListOfAllPropertyUseTypes,Neighborhood,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber
0,405 Olive way,NonResidential,Compliant,2016,False,60.0,Hotel,Hotel,DOWNTOWN,Hotel,Mayflower park hotel,0659000030
1,724 Pine street,NonResidential,Compliant,2016,False,61.0,Hotel,"Hotel, Parking, Restaurant",DOWNTOWN,Hotel,Paramount Hotel,0659000220
2,1900 5th Avenue,NonResidential,Compliant,2016,False,43.0,Hotel,Hotel,DOWNTOWN,Hotel,5673-The Westin Seattle,0659000475
3,620 STEWART ST,NonResidential,Compliant,2016,False,56.0,Hotel,Hotel,DOWNTOWN,Hotel,HOTEL MAX,0659000640
4,401 LENORA ST,NonResidential,Compliant,2016,False,75.0,Hotel,"Hotel, Parking, Swimming Pool",DOWNTOWN,Hotel,WARWICK SEATTLE HOTEL (ID8),0659000970
5,810 Virginia St,Nonresidential COS,Compliant,2016,False,,Police Station,Police Station,DOWNTOWN,Other,West Precinct,0660000560
6,1619 9th Avenue,NonResidential,Compliant,2016,False,27.0,Hotel,Hotel,DOWNTOWN,Hotel,Camlin,0660000825
7,911 Pine St,NonResidential,Compliant,2016,False,,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,DOWNTOWN,Other,Paramount Theatre,0660000955
8,612 2nd Ave,NonResidential,Compliant,2016,False,43.0,Hotel,Hotel,DOWNTOWN,Hotel,311wh-Pioneer Square,0939000080
9,607 - 3rd Ave.,Multifamily MR (5-9),Compliant,2016,False,1.0,Multifamily Housing,Multifamily Housing,DOWNTOWN,Mid-Rise Multifamily,Lyon Building,0939000105
10,1101 4th Avenue,NonResidential,Compliant,2016,False,30.0,Hotel,Hotel,DOWNTOWN,Hotel,Hotel Monaco Seattle,0942000145
11,1112 Fourth Avenue,NonResidential,Compliant,2016,False,36.0,Hotel,Hotel,DOWNTOWN,Hotel,5679-W Seattle,0942000165
12,400 Spring Street,NonResidential,Compliant,2016,False,48.0,Hotel,Hotel,DOWNTOWN,Hotel,Executive Pacific Plaza,0942000210
13,1113 6th Ave,NonResidential,Compliant,2016,False,58.0,Hotel,"Hotel, Parking",DOWNTOWN,Hotel,Crowne Plaza Hotel Seattle,0942000235
14,1100 5th Avenue,NonResidential,Compliant,2016,False,35.0,Hotel,"Hotel, Parking",DOWNTOWN,Hotel,Hotel Vintage Seattle,0942000265
15,1000 Fourth Avenue,Nonresidential COS,Compliant,2016,False,,Library,"Data Center, Library, Parking",DOWNTOWN,Other,The Seattle Public Library - Central Library,0942000275
16,909 4th Avenue,NonResidential,Compliant,2016,False,,Fitness Center/Health Club/Gym,"Fitness Center/Health Club/Gym, Office, Swimming Pool",DOWNTOWN,Other,Downtown Seattle YMCA,0942000350
17,515 Madison Street,NonResidential,Compliant,2016,False,31.0,Hotel,"Hotel, Parking",DOWNTOWN,Hotel,Renaissance Seattle Hotel,0942000430
18,820 4th Ave.,NonResidential,Compliant,2016,False,,Social/Meeting Hall,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",DOWNTOWN,Mixed Use Property,The Rainier Club,0942000510
19,700 3rd Ave,NonResidential,Compliant,2016,False,39.0,Hotel,Hotel,DOWNTOWN,Hotel,Arctic Club Seattle,0942000610
20,516 3RD AVE,NonResidential,Compliant,2016,False,76.0,Courthouse,Courthouse,DOWNTOWN,Other,King County Courthouse,0942000860
21,500 5TH AVE,NonResidential,Compliant,2016,False,,Other,Other,DOWNTOWN,Other,King County Correctional Facility,0942001010
