,CouncilDistrictCode,DataYear,ENERGYSTARScore,Electricity(kBtu),Electricity(kWh),GHGEmissionsIntensity,LargestPropertyUseTypeGFA,Latitude,Longitude,NaturalGas(kBtu),NaturalGas(therms),NumberofBuildings,NumberofFloors,OSEBuildingID,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),TotalGHGEmissions,YearBuilt,ZipCode
0,7.0,2016.0,60.0,3946027.0,1156514.25,2.83,88434.0,47.6122,-122.33798999999999,1276453.0,12764.5293,1.0,12.0,1.0,88434.0,,88434.0,81.69999695,84.30000305,7226362.5,7456910.0,182.5,189.0,2003882.0,249.98,1927.0,98101.0
1,7.0,2016.0,61.0,3242851.0,950425.1875,2.86,83880.0,47.613170000000004,-122.33393000000001,5145082.0,51450.81641,1.0,11.0,2.0,88502.0,15064.0,103566.0,94.80000305,97.90000153,8387933.0,8664479.0,176.1000061,179.3999939,,295.86,1996.0,98101.0
3,7.0,2016.0,56.0,2768924.0,811525.3125,4.67,61320.0,47.61412,-122.33663999999999,1811213.0,18112.13086,1.0,10.0,5.0,61320.0,,61320.0,110.8000031,113.3000031,6794584.0,6946800.5,216.1999969,224.0,2214446.25,286.43,1926.0,98101.0
4,7.0,2016.0,75.0,5368607.0,1573448.625,2.88,123445.0,47.61375,-122.34047,8803998.0,88039.98438,1.0,18.0,8.0,113580.0,62000.0,175580.0,114.8000031,118.6999969,14172606.0,14656503.0,211.39999390000003,215.60000609999997,,505.01,1980.0,98121.0
5,7.0,2016.0,,7371434.0,2160443.75,3.1,88830.0,47.61623,-122.33657,4715182.0,47151.81641,1.0,2.0,9.0,60090.0,37198.0,97288.0,136.1000061,141.6000061,12086616.0,12581712.0,316.2999878,320.5,,301.81,1999.0,98101.0
6,7.0,2016.0,27.0,2811215.0,823919.875,2.12,81352.0,47.6139,-122.33283,2947580.0,29475.80078,1.0,11.0,10.0,83008.0,,83008.0,70.80000305,74.5,5758795.0,6062767.5,146.6000061,154.6999969,,176.14,1926.0,98101.0
7,7.0,2016.0,,3636655.0,1065842.75,2.16,102761.0,47.61327,-122.33136,385189.0,3851.890137,1.0,8.0,11.0,102761.0,,102761.0,61.29999924,68.80000305,6298131.5,7067881.5,141.6999969,152.3000031,2276286.5,221.51,1926.0,98101.0
8,7.0,2016.0,43.0,7297919.0,2138897.75,2.39,163984.0,47.602940000000004,-122.33263000000001,6425900.0,64259.0,1.0,15.0,12.0,163984.0,,163984.0,83.69999695,86.59999847,13723820.0,14194054.0,180.8999939,187.1999969,,392.16,1904.0,98104.0
9,7.0,2016.0,1.0,2532015.0,742091.1875,2.37,56132.0,47.60284,-122.33183999999999,1002026.0,10020.25977,1.0,6.0,13.0,62216.0,1496.0,63712.0,81.5,85.59999847,4573777.0,4807679.5,182.6999969,187.3999939,1039735.188,151.12,1910.0,98104.0
10,7.0,2016.0,30.0,6187627.0,1813489.875,4.51,133884.0,47.60695,-122.33413999999999,4591850.0,45918.5,1.0,11.0,15.0,133884.0,19279.0,153163.0,119.59999850000001,124.3000031,16016644.0,16646930.0,228.1999969,233.0,5237165.5,691.26,1969.0,98101.0
